point_id,zone,expected_fault,x,y,z
Zone_A_000,Zone_A,F_left,14.186645639261428,763.2651173456685,-191.74654276359269
Zone_A_001,Zone_A,F_left,76.70921694299275,723.1613756574334,-256.72549988803814
Zone_A_002,Zone_A,F_left,106.38566555120005,57.88720761949628,-86.34499803055803
Zone_A_003,Zone_A,F_left,47.379855127509515,50.857313505389136,-131.96926409650888
Zone_A_004,Zone_A,F_left,113.90594164823236,194.02421778198408,-89.68557724989745
Zone_A_005,Zone_A,F_left,8.541330808200968,651.5485455549564,-230.34473145520354
Zone_A_006,Zone_A,F_left,88.99296799602025,590.5566843763149,-263.89114502365794
Zone_A_007,Zone_A,F_left,85.44286439377234,75.64606682833241,-88.81368407156191
Zone_A_008,Zone_A,F_left,39.888976278224646,564.4731024305353,-207.90125175135984
Zone_A_009,Zone_A,F_left,96.95563310593673,967.4313432911636,-336.15789780587096
Zone_A_010,Zone_A,F_left,106.76684357032856,690.0094096860269,-386.01479618479897
Zone_A_011,Zone_A,F_left,74.74025957100461,446.45587572107246,-140.1787793877627
Zone_A_012,Zone_A,F_left,7.445271693583422,567.6172678546836,-128.60217360895757
Zone_A_013,Zone_A,F_left,113.55207371584322,599.9632060812547,-58.82658611689271
Zone_A_014,Zone_A,F_left,80.73992457170353,512.5274099404626,-380.4330475113091
Zone_A_015,Zone_A,F_left,12.82562063012881,189.87723254223908,-227.08132213333465
Zone_A_016,Zone_A,F_left,99.9094993857214,469.6890175971733,-170.43328171313982
Zone_A_017,Zone_A,F_left,123.82800493461393,69.89037738992265,-375.2243496903602
Zone_A_018,Zone_A,F_left,51.918583918860634,69.29670280306988,-91.24944846406567
Zone_A_019,Zone_A,F_left,107.28174671778237,889.6388060903353,-113.03450615073058
Zone_A_020,Zone_A,F_left,111.58064614928631,820.2425062502158,-162.80484343553945
Zone_A_021,Zone_A,F_left,60.52325253398065,193.91368848229195,-395.43011504237955
Zone_A_022,Zone_A,F_left,112.1143099529113,215.31733332247305,-200.03218754002364
Zone_A_023,Zone_A,F_left,103.36643556162863,605.6169764216563,-172.66834703561017
Zone_A_024,Zone_A,F_left,118.80153034279269,142.36120906844874,-263.01657485543615
Zone_A_025,Zone_A,F_left,81.95465725511444,638.6148776175304,-319.1253524184396
Zone_A_026,Zone_A,F_left,92.20580159854296,116.80449513970758,-79.58704757023867
Zone_A_027,Zone_A,F_left,64.82791790575378,709.5991973676498,-207.78558665476302
